#{"t_start": 1691064604.8087392, "env_id": null}
r,l,t
-0.9375,4,0.005202
0.0,6,0.007034
-0.9375,4,0.008265
-0.96875,5,0.009639
0.0,6,0.011228
0.0,6,0.01267
0.0,6,0.014168
-0.96875,5,0.015353
0.0,6,0.016809
0.0,6,0.018335
0.0,6,0.021628
-0.96875,5,0.023138
0.0,6,0.024823
-0.96875,5,0.026136
0.0,6,0.027712
-0.96875,5,0.028986
0.0,6,0.030627
-0.9375,4,0.031654
0.0,6,0.033108
0.0,6,0.034946
-0.96875,5,0.037646
0.0,6,0.039185
0.0,6,0.040755
0.0,6,0.042257
0.0,6,0.043909
0.0,6,0.045406
0.0,6,0.046926
0.0,6,0.048368
-0.96875,5,0.049727
0.0,6,0.051386
-0.96875,5,0.053953
0.0,6,0.055631
0.0,6,0.057297
-0.96875,5,0.058651
-0.9375,4,0.060177
0.0,6,0.062728
-0.96875,5,0.064134
0.0,6,0.065735
0.0,6,0.067241
-0.9375,4,0.068277
-0.96875,5,0.069689
0.0,6,0.0712
0.0,6,0.073034
0.0,6,0.074544
-0.96875,5,0.075848
-0.9375,4,0.076852
0.0,6,0.078355
0.0,6,0.079728
0.0,6,0.08124
-0.9375,4,0.082199
-0.96875,5,0.083369
-0.96875,5,0.084542
-0.9375,4,0.08554
0.0,6,0.086905
0.0,6,0.088232
-0.96875,5,0.089365
-0.96875,5,0.090514
0.0,6,0.091977
0.0,6,0.093308
-0.96875,5,0.094383
-0.9375,4,0.095332
0.0,6,0.096656
-0.96875,5,0.097736
0.0,6,0.099004
0.0,6,0.100408
0.0,6,0.101773
0.0,6,0.103108
-0.96875,5,0.104329
-0.96875,5,0.105519
0.0,6,0.107062
-0.96875,5,0.108137
0.0,6,0.109454
-0.9375,4,0.110395
-0.96875,5,0.111485
0.0,6,0.112782
0.0,6,0.114134
-0.96875,5,0.115279
-0.96875,5,0.116345
-0.96875,5,0.117467
0.0,6,0.118723
-0.96875,5,0.119864
0.0,6,0.121194
0.0,6,0.122615
0.0,6,0.124344
-0.96875,5,0.125519
-0.96875,5,0.126604
-0.96875,5,0.12774
0.0,6,0.129013
0.0,6,0.130597
-0.96875,5,0.132625
-0.96875,5,0.133848
0.0,6,0.135166
-0.96875,5,0.136329
0.0,6,0.137595
0.0,6,0.139037
-0.9375,4,0.140123
0.0,6,0.141477
-0.96875,5,0.1426
0.0,6,0.143861
0.0,6,0.145219
-0.96875,5,0.1464
-0.9375,4,0.147616
-0.9375,4,0.149192
0.0,6,0.150738
-0.9375,4,0.151723
-0.96875,5,0.15286
-0.9375,4,0.153738
0.0,6,0.155067
0.0,6,0.156561
0.0,6,0.157931
0.0,6,0.159268
-0.96875,5,0.160359
-0.96875,5,0.161521
0.0,6,0.162865
0.0,6,0.164271
-0.96875,5,0.165707
0.0,6,0.167734
0.0,6,0.16903
-0.96875,5,0.170204
-0.9375,4,0.171091
0.0,6,0.172678
-0.96875,5,0.173988
-0.96875,5,0.175125
-0.96875,5,0.176199
-0.9375,4,0.177153
0.0,6,0.178465
-0.96875,5,0.179602
-0.96875,5,0.180813
-0.9375,4,0.18209
0.0,6,0.184076
-0.96875,5,0.185279
-0.96875,5,0.186417
0.0,6,0.187884
-0.9375,4,0.188879
0.0,6,0.190477
0.0,6,0.191898
0.0,6,0.193447
0.0,6,0.194791
-0.9375,4,0.195711
0.0,6,0.197197
-0.96875,5,0.198751
0.0,6,0.201171
-0.9375,4,0.20216
-0.96875,5,0.203359
0.0,6,0.204925
0.0,6,0.206503
0.0,6,0.208395
-0.96875,5,0.209863
0.0,6,0.211488
0.0,6,0.21304
-0.96875,5,0.214421
-0.96875,5,0.215769
-0.9375,4,0.216901
-0.9375,4,0.218051
-0.9375,4,0.219088
-0.96875,5,0.220353
-0.96875,5,0.221725
0.0,6,0.223296
-0.96875,5,0.224703
0.0,6,0.226261
0.0,6,0.22785
-0.96875,5,0.229088
-0.96875,5,0.230252
0.0,6,0.23156
0.0,6,0.23315
0.0,6,0.234644
-0.9375,4,0.235695
0.0,6,0.237752
-0.96875,5,0.239105
0.0,6,0.240699
-0.96875,5,0.2419
0.0,6,0.243315
0.0,6,0.244826
-0.96875,5,0.245977
-0.96875,5,0.24718
0.0,6,0.248859
-0.9375,4,0.250225
-0.96875,5,0.251399
0.0,6,0.252821
-0.96875,5,0.253976
0.0,6,0.255472
-0.96875,5,0.256836
-0.96875,5,0.258068
-0.96875,5,0.259283
-0.9375,4,0.260337
-0.9375,4,0.261318
-0.96875,5,0.262474
0.0,6,0.264266
-0.96875,5,0.265798
-0.96875,5,0.267207
-0.96875,5,0.268461
0.0,6,0.269878
-0.9375,4,0.270932
0.0,6,0.272457
-0.96875,5,0.273747
-0.9375,4,0.274721
-0.96875,5,0.275956
-0.9375,4,0.276866
0.0,6,0.278211
-0.9375,4,0.279091
0.0,6,0.280658
0.0,6,0.282399
0.0,6,0.284261
0.0,6,0.285669
0.0,6,0.287117
-0.9375,4,0.288081
0.0,6,0.289615
0.0,6,0.291104
-0.96875,5,0.292345
-0.9375,4,0.293236
-0.96875,5,0.294439
0.0,6,0.295849
-0.9375,4,0.296824
-0.9375,4,0.297851
-0.9375,4,0.298854
-0.96875,5,0.300177
-0.9375,4,0.301434
-0.96875,5,0.302594
0.0,6,0.303877
-0.96875,5,0.305061
0.0,6,0.306613
-0.9375,4,0.307554
-0.9375,4,0.308445
-0.96875,5,0.309531
-0.96875,5,0.310705
-0.96875,5,0.311851
0.0,6,0.313251
-0.9375,4,0.314198
0.0,6,0.315948
-0.96875,5,0.317147
-0.9375,4,0.318027
0.0,6,0.319286
-0.96875,5,0.320516
-0.96875,5,0.321594
0.0,6,0.322916
-0.9375,4,0.323927
-0.96875,5,0.325219
-0.96875,5,0.326316
-0.96875,5,0.327401
-0.9375,4,0.328283
-0.9375,4,0.329289
-0.96875,5,0.330418
0.0,6,0.331803
0.0,6,0.333134
-0.96875,5,0.334388
-0.96875,5,0.335514
0.0,6,0.336845
0.0,6,0.338239
-0.96875,5,0.339433
-0.96875,5,0.340604
-0.9375,4,0.341491
-0.96875,5,0.342682
0.0,6,0.344203
0.0,6,0.345542
0.0,6,0.34682
-0.96875,5,0.347895
-0.96875,5,0.349117
0.0,6,0.35039
0.0,6,0.351722
-0.96875,5,0.352802
-0.96875,5,0.353962
0.0,6,0.355287
