#{"t_start": 1691066105.065404, "env_id": null}
r,l,t
-1,21,0.02042
-1,25,0.028165
-1,20,0.035159
-1,26,0.042364
-1,21,0.049555
-1,24,0.056225
-1,22,0.063065
-1,25,0.069556
-1,24,0.075815
-1,27,0.083611
-1,28,0.09052
-1,21,0.095566
-1,21,0.101755
-1,23,0.107982
-1,25,0.115563
-1,19,0.119984
-1,23,0.126232
-1,20,0.133153
-1,23,0.139229
-1,22,0.144896
-1,22,0.152003
-1,23,0.158385
-1,25,0.165401
-1,27,0.174185
-1,24,0.18059
-1,26,0.187013
-1,21,0.194421
-1,24,0.201144
-1,24,0.207872
-1,24,0.216667
-1,28,0.224868
-1,23,0.233048
-1,24,0.239851
-1,24,0.246001
-1,24,0.253064
-1,21,0.258476
-1,20,0.264736
-1,25,0.270684
-1,26,0.277342
-1,23,0.284247
-1,22,0.289847
-1,25,0.296113
-1,27,0.303707
-1,22,0.309397
-1,24,0.314908
-1,24,0.320187
-1,19,0.324508
-1,24,0.333525
-1,23,0.339028
-1,22,0.344369
-1,22,0.350859
-1,25,0.357069
-1,22,0.363344
-1,25,0.369837
-1,22,0.375346
-1,21,0.381422
-1,27,0.387942
-1,24,0.393603
-1,22,0.39987
-1,23,0.405207
-1,20,0.409993
-1,24,0.416603
-1,24,0.421982
-1,22,0.427111
-1,20,0.432826
-1,24,0.438612
-1,26,0.44465
-1,22,0.449589
-1,22,0.454619
-1,20,0.459081
-1,21,0.464293
-1,26,0.470594
-1,24,0.476437
-1,21,0.482511
-1,25,0.488383
-1,21,0.493299
-1,25,0.499884
-1,25,0.505809
-1,25,0.511601
-1,23,0.51728
-1,21,0.522107
-1,26,0.528082
-1,22,0.533865
-1,21,0.538583
-1,25,0.544411
-1,20,0.548754
-1,25,0.554203
-1,22,0.55906
-1,26,0.564279
-1,20,0.568585
-1,27,0.573866
0,30,0.5801
-1,22,0.58497
-1,21,0.589438
-1,24,0.594393
-1,26,0.599998
-1,21,0.60458
-1,21,0.608753
-1,22,0.613312
-1,23,0.618111
-1,22,0.622657
-1,23,0.627303
-1,27,0.633097
-1,27,0.638441
-1,25,0.643611
-1,22,0.648447
-1,24,0.653422
-1,25,0.658583
-1,24,0.663686
-1,22,0.667881
-1,21,0.671826
-1,24,0.676486
-1,22,0.680705
-1,21,0.684691
-1,21,0.688706
-1,23,0.693339
-1,22,0.697669
-1,25,0.702455
-1,23,0.706866
-1,26,0.711999
-1,22,0.717063
-1,21,0.721317
-1,27,0.726891
-1,25,0.732413
-1,24,0.737568
-1,22,0.741914
-1,24,0.767378
-1,24,0.773397
-1,22,0.779186
-1,23,0.784882
-1,21,0.789715
-1,25,0.795583
-1,21,0.800402
-1,23,0.805451
-1,25,0.810784
-1,26,0.815999
-1,20,0.819871
-1,26,0.825472
-1,24,0.832764
-1,22,0.838273
-1,22,0.842781
-1,22,0.847232
-1,25,0.852883
-1,24,0.857745
-1,21,0.86242
-1,26,0.868202
-1,20,0.872722
-1,24,0.87793
-1,23,0.883113
-1,23,0.887856
-1,21,0.892031
-1,26,0.897718
-1,22,0.902423
-1,27,0.908148
-1,24,0.913279
-1,23,0.918224
-1,22,0.922721
-1,22,0.927181
-1,22,0.932179
-1,25,0.93721
-1,24,0.942225
-1,24,0.947364
-1,25,0.952845
-1,24,0.958275
-1,24,0.963986
-1,24,0.969829
-1,21,0.97476
-1,26,0.98086
-1,25,0.987136
-1,26,0.993047
-1,23,0.998404
-1,23,1.003904
-1,17,1.007781
-1,23,1.013096
-1,24,1.01863
-1,25,1.024077
-1,23,1.029444
-1,22,1.034663
-1,21,1.039364
-1,19,1.04359
-1,23,1.048585
-1,23,1.05341
-1,25,1.059034
-1,24,1.064193
-1,23,1.068817
-1,22,1.073148
-1,22,1.077315
-1,26,1.082523
-1,19,1.086213
-1,25,1.091116
-1,25,1.096233
-1,26,1.101663
-1,26,1.107058
-1,25,1.112481
-1,23,1.117222
-1,20,1.121368
-1,26,1.126697
-1,21,1.131938
-1,24,1.137277
-1,25,1.143176
-1,27,1.150097
-1,21,1.154841
-1,21,1.15964
-1,26,1.166103
-1,24,1.171685
-1,25,1.177437
-1,22,1.182314
-1,26,1.187553
-1,23,1.192146
-1,27,1.197399
-1,21,1.201468
-1,21,1.205477
-1,27,1.211111
-1,23,1.215578
