#{"t_start": 1691064728.5882711, "env_id": null}
r,l,t
-0.96875,5,0.008177
0.0,6,0.010372
-0.9375,4,0.011531
0.0,6,0.013195
0.0,6,0.014928
-0.96875,5,0.016337
0.0,6,0.018067
0.0,6,0.01966
-0.96875,5,0.021142
0.0,6,0.022915
-0.9375,4,0.02418
-0.96875,5,0.026304
0.0,6,0.028087
-0.96875,5,0.02941
0.0,6,0.031029
0.0,6,0.032723
0.0,6,0.03453
0.0,6,0.036131
-0.96875,5,0.037477
0.0,6,0.039219
0.0,6,0.041565
0.0,6,0.043792
-0.9375,4,0.044946
0.0,6,0.046577
-0.9375,4,0.047764
0.0,6,0.049665
-0.96875,5,0.051075
0.0,6,0.05273
0.0,6,0.054404
-0.96875,5,0.055938
-0.9375,4,0.057273
0.0,6,0.059402
0.0,6,0.061294
0.0,6,0.062937
0.0,6,0.06449
-0.96875,5,0.066001
-0.96875,5,0.067468
0.0,6,0.069115
-0.96875,5,0.070575
-0.9375,4,0.071669
-0.96875,5,0.073253
0.0,6,0.074852
0.0,6,0.076502
-0.9375,4,0.077561
0.0,6,0.079179
-0.96875,5,0.080549
0.0,6,0.082058
0.0,6,0.083643
0.0,6,0.085664
-0.9375,4,0.086951
0.0,6,0.088553
-0.96875,5,0.089835
-0.9375,4,0.090966
-0.96875,5,0.092248
0.0,6,0.093784
0.0,6,0.095249
-0.96875,5,0.096567
0.0,6,0.098107
0.0,6,0.099582
0.0,6,0.101125
-0.96875,5,0.102431
0.0,6,0.103911
-0.96875,5,0.105066
0.0,6,0.106494
-0.96875,5,0.107961
-0.9375,4,0.108915
0.0,6,0.110273
0.0,6,0.111679
0.0,6,0.113091
0.0,6,0.114479
0.0,6,0.115812
0.0,6,0.117204
0.0,6,0.11861
-0.96875,5,0.119738
-0.96875,5,0.120928
-0.96875,5,0.12206
0.0,6,0.123765
0.0,6,0.125197
0.0,6,0.126746
-0.9375,4,0.12769
-0.96875,5,0.128987
0.0,6,0.130353
0.0,6,0.131995
-0.96875,5,0.133287
0.0,6,0.134859
-0.96875,5,0.136049
0.0,6,0.137378
-0.96875,5,0.138505
0.0,6,0.140369
-0.9375,4,0.141644
0.0,6,0.143352
0.0,6,0.144802
0.0,6,0.146246
-0.96875,5,0.147465
-0.96875,5,0.148802
-0.96875,5,0.149966
-0.9375,4,0.151028
0.0,6,0.152417
0.0,6,0.153789
0.0,6,0.155168
0.0,6,0.157217
-0.9375,4,0.158599
0.0,6,0.160492
-0.9375,4,0.161492
0.0,6,0.163027
0.0,6,0.16456
0.0,6,0.166303
-0.96875,5,0.167628
-0.96875,5,0.1692
-0.9375,4,0.170263
-0.96875,5,0.171511
0.0,6,0.173095
-0.96875,5,0.174552
-0.96875,5,0.175831
-0.96875,5,0.177108
0.0,6,0.178673
0.0,6,0.180198
-0.96875,5,0.181379
-0.9375,4,0.182308
0.0,6,0.184016
-0.96875,5,0.185607
0.0,6,0.187248
0.0,6,0.18867
0.0,6,0.190318
0.0,6,0.191928
-0.9375,4,0.192964
0.0,6,0.194477
0.0,6,0.195891
-0.96875,5,0.197107
-0.9375,4,0.198327
-0.96875,5,0.199876
-0.9375,4,0.201087
0.0,6,0.203051
-0.96875,5,0.204438
0.0,6,0.2061
-0.96875,5,0.207452
0.0,6,0.209334
0.0,6,0.210952
-0.9375,4,0.212051
-0.9375,4,0.213252
0.0,6,0.215223
-0.96875,5,0.216604
0.0,6,0.218211
0.0,6,0.219859
0.0,6,0.22158
-0.96875,5,0.222965
0.0,6,0.224522
0.0,6,0.226115
-0.96875,5,0.227692
-0.96875,5,0.228983
-0.96875,5,0.230382
0.0,6,0.232134
-0.96875,5,0.233574
-0.96875,5,0.234891
0.0,6,0.236618
0.0,6,0.238189
0.0,6,0.24004
0.0,6,0.24163
-0.96875,5,0.243015
0.0,6,0.244531
-0.96875,5,0.24595
-0.96875,5,0.247269
0.0,6,0.248864
-0.96875,5,0.2501
0.0,6,0.251631
0.0,6,0.25299
0.0,6,0.25442
0.0,6,0.256085
0.0,6,0.257787
-0.9375,4,0.258737
0.0,6,0.260394
0.0,6,0.262515
0.0,6,0.26422
0.0,6,0.265823
0.0,6,0.267366
-0.96875,5,0.268787
0.0,6,0.270449
0.0,6,0.2721
0.0,6,0.273633
0.0,6,0.275173
-0.96875,5,0.276538
0.0,6,0.278017
0.0,6,0.279558
0.0,6,0.281075
0.0,6,0.283219
-0.96875,5,0.284827
0.0,6,0.286449
0.0,6,0.28798
-0.96875,5,0.289459
-0.96875,5,0.290828
0.0,6,0.292349
-0.96875,5,0.293632
-0.96875,5,0.295026
0.0,6,0.296447
0.0,6,0.298163
-0.96875,5,0.299761
-0.96875,5,0.301598
-0.96875,5,0.302997
0.0,6,0.304553
0.0,6,0.306173
-0.96875,5,0.307843
-0.96875,5,0.309202
0.0,6,0.310749
0.0,6,0.312352
0.0,6,0.314055
0.0,6,0.3161
-0.96875,5,0.318144
-0.96875,5,0.319726
0.0,6,0.321557
0.0,6,0.323258
0.0,6,0.324931
-0.96875,5,0.326255
-0.96875,5,0.327676
0.0,6,0.329302
0.0,6,0.330986
0.0,6,0.333593
0.0,6,0.335976
-0.96875,5,0.3375
0.0,6,0.339153
0.0,6,0.340978
0.0,6,0.342798
0.0,6,0.344458
0.0,6,0.346039
0.0,6,0.347674
0.0,6,0.349526
0.0,6,0.351272
-0.9375,4,0.352381
-0.9375,4,0.353498
0.0,6,0.355351
-0.96875,5,0.356801
-0.96875,5,0.35821
0.0,6,0.359769
-0.9375,4,0.360907
0.0,6,0.36249
0.0,6,0.364012
0.0,6,0.36574
0.0,6,0.367519
0.0,6,0.369128
-0.9375,4,0.370184
-0.96875,5,0.371487
-0.9375,4,0.372621
-0.96875,5,0.373889
0.0,6,0.375565
-0.96875,5,0.376856
0.0,6,0.378457
0.0,6,0.379996
0.0,6,0.381457
0.0,6,0.382934
0.0,6,0.384409
0.0,6,0.385814
-0.96875,5,0.386941
-0.9375,4,0.387853
-0.9375,4,0.388845
0.0,6,0.390591
-0.96875,5,0.392237
0.0,6,0.393857
-0.96875,5,0.395159
-0.9375,4,0.396083
0.0,6,0.39743
-0.96875,5,0.398717
-0.96875,5,0.400058
0.0,6,0.401452
-0.96875,5,0.4026
0.0,6,0.404004
0.0,6,0.405634
-0.9375,4,0.406938
-0.96875,5,0.408484
0.0,6,0.410205
-0.96875,5,0.41153
-0.96875,5,0.412832
0.0,6,0.414303
0.0,6,0.415871
-0.96875,5,0.417298
0.0,6,0.418789
0.0,6,0.420325
-0.9375,4,0.421347
-0.9375,4,0.422609
0.0,6,0.424624
-0.96875,5,0.426497
-0.96875,5,0.427887
-0.9375,4,0.429095
0.0,6,0.430658
0.0,6,0.432431
0.0,6,0.434082
-0.9375,4,0.435317
0.0,6,0.436979
0.0,6,0.438499
0.0,6,0.440328
0.0,6,0.443346
0.0,6,0.445068
-0.96875,5,0.446404
0.0,6,0.448382
-0.96875,5,0.44993
0.0,6,0.451657
0.0,6,0.453305
-0.96875,5,0.454748
-0.96875,5,0.456505
-0.9375,4,0.458253
-0.96875,5,0.459861
0.0,6,0.461487
-0.9375,4,0.462769
-0.96875,5,0.4643
0.0,6,0.466269
-0.96875,5,0.467644
-0.96875,5,0.469156
0.0,6,0.470896
0.0,6,0.472713
-0.96875,5,0.474159
-0.9375,4,0.47537
0.0,6,0.476946
-0.96875,5,0.478289
-0.96875,5,0.479708
-0.96875,5,0.481168
-0.96875,5,0.48251
0.0,6,0.484462
-0.9375,4,0.485664
-0.96875,5,0.487264
-0.96875,5,0.489084
0.0,6,0.491064
-0.96875,5,0.492466
-0.9375,4,0.49379
-0.96875,5,0.495095
0.0,6,0.49669
-0.9375,4,0.497807
0.0,6,0.499468
-0.96875,5,0.500837
0.0,6,0.50246
-0.9375,4,0.503696
0.0,6,0.505483
-0.96875,5,0.507067
-0.96875,5,0.508785
0.0,6,0.510799
-0.96875,5,0.512358
0.0,6,0.513964
0.0,6,0.515576
0.0,6,0.51724
0.0,6,0.519044
0.0,6,0.520657
0.0,6,0.522315
0.0,6,0.524175
-0.96875,5,0.526426
0.0,6,0.528151
0.0,6,0.529743
0.0,6,0.5314
0.0,6,0.533268
0.0,6,0.535017
-0.9375,4,0.536113
-0.96875,5,0.537439
0.0,6,0.539191
-0.96875,5,0.540986
0.0,6,0.543046
0.0,6,0.544742
0.0,6,0.546432
0.0,6,0.54807
-0.9375,4,0.549422
0.0,6,0.551119
-0.96875,5,0.552677
-0.96875,5,0.554046
-0.9375,4,0.555239
0.0,6,0.557924
0.0,6,0.560101
0.0,6,0.561693
0.0,6,0.563345
0.0,6,0.564925
0.0,6,0.566754
-0.9375,4,0.567916
