#{"t_start": 1691065979.1970801, "env_id": null}
r,l,t
-1,15,0.019985
-1,15,0.024635
-1,14,0.029288
-1,16,0.035822
-1,15,0.041045
-1,11,0.044341
-1,15,0.048739
-1,15,0.05278
-1,13,0.058768
-1,16,0.063394
-1,12,0.066623
-1,16,0.070968
-1,16,0.076005
-1,12,0.079067
-1,13,0.08247
-1,13,0.085726
-1,13,0.091111
-1,15,0.09526
0,18,0.1
-1,14,0.103532
-1,14,0.107997
-1,14,0.111563
-1,14,0.114995
-1,15,0.118764
-1,14,0.123294
-1,14,0.12897
-1,13,0.132611
-1,14,0.136278
-1,16,0.141285
-1,13,0.144798
-1,15,0.150951
-1,17,0.155822
-1,15,0.160783
-1,16,0.166792
-1,13,0.170868
-1,16,0.175834
-1,16,0.180695
-1,14,0.186799
-1,15,0.191901
-1,14,0.196011
-1,12,0.201458
-1,13,0.205491
-1,13,0.210564
0,18,0.217903
-1,12,0.222043
-1,14,0.227001
-1,16,0.233453
-1,13,0.237304
-1,14,0.241995
-1,14,0.24595
-1,14,0.251256
-1,16,0.255742
-1,14,0.260322
-1,15,0.26599
-1,13,0.269415
-1,14,0.273221
-1,15,0.277647
-1,16,0.283322
-1,14,0.286969
-1,13,0.290467
-1,14,0.294251
-1,15,0.299561
-1,17,0.303865
-1,13,0.307564
-1,16,0.311785
-1,16,0.315783
-1,14,0.319156
-1,16,0.323215
-1,12,0.326315
-1,13,0.329433
-1,17,0.333592
-1,14,0.336925
-1,13,0.340027
-1,14,0.343332
-1,12,0.345977
-1,14,0.348874
-1,14,0.35185
-1,13,0.354487
-1,16,0.357766
-1,14,0.360655
-1,13,0.363373
-1,15,0.366456
-1,15,0.369489
-1,15,0.372582
-1,15,0.375951
-1,12,0.378411
-1,15,0.381537
-1,17,0.38503
-1,11,0.387541
-1,14,0.390437
-1,13,0.393106
-1,16,0.396423
-1,13,0.399278
-1,14,0.402152
-1,15,0.405826
-1,15,0.408976
-1,13,0.412391
-1,17,0.416076
-1,12,0.419448
-1,16,0.42478
-1,16,0.429972
-1,16,0.433499
-1,14,0.436442
-1,14,0.439725
-1,15,0.443297
-1,15,0.44655
-1,13,0.451678
-1,15,0.455538
-1,16,0.460257
-1,14,0.465529
-1,14,0.469143
-1,17,0.473879
-1,14,0.477939
-1,15,0.483004
-1,15,0.486768
-1,14,0.49031
-1,13,0.494075
-1,16,0.49922
-1,15,0.50306
-1,15,0.507332
-1,12,0.511137
-1,12,0.515685
-1,16,0.520268
-1,14,0.524837
-1,13,0.528538
-1,16,0.532756
-1,11,0.535533
-1,14,0.538962
-1,15,0.542786
-1,16,0.546861
-1,12,0.549677
-1,13,0.552669
-1,15,0.556478
-1,13,0.559499
-1,13,0.562274
-1,13,0.565074
-1,13,0.567916
-1,15,0.571184
-1,16,0.574567
-1,14,0.57782
-1,14,0.580912
-1,17,0.58456
-1,15,0.587764
0,18,0.591615
-1,14,0.594696
-1,13,0.597441
-1,14,0.600389
-1,14,0.603394
-1,13,0.606453
-1,15,0.609673
-1,15,0.612931
-1,15,0.616183
-1,16,0.619778
-1,14,0.623081
-1,16,0.62658
-1,16,0.630158
-1,14,0.633188
-1,14,0.636477
-1,14,0.659498
-1,12,0.663
-1,12,0.666278
-1,15,0.669964
-1,13,0.673094
-1,15,0.676857
-1,14,0.68083
-1,17,0.685581
-1,17,0.690077
-1,14,0.69383
-1,13,0.697598
-1,17,0.702067
-1,15,0.706194
-1,15,0.710334
-1,14,0.714386
-1,13,0.718183
-1,15,0.721981
-1,13,0.725285
-1,14,0.729435
-1,15,0.733941
0,18,0.738373
-1,16,0.742508
-1,16,0.747043
-1,14,0.7517
-1,15,0.755864
-1,14,0.759629
-1,12,0.763368
-1,17,0.767771
-1,14,0.771552
-1,15,0.775376
-1,16,0.779527
-1,14,0.782955
-1,13,0.786157
-1,16,0.789927
-1,12,0.79262
-1,13,0.795483
-1,11,0.797823
-1,15,0.801214
-1,13,0.804093
-1,14,0.807217
-1,17,0.811059
-1,14,0.814314
-1,16,0.818479
-1,13,0.821278
-1,14,0.824596
-1,12,0.8273
-1,13,0.830303
-1,15,0.833582
-1,14,0.836611
-1,15,0.839782
