#{"t_start": 1691064667.092127, "env_id": null}
r,l,t
-0.96875,5,0.013485
-0.96875,5,0.014901
-0.9375,4,0.016027
0.0,6,0.017648
-0.96875,5,0.019242
-0.9375,4,0.020454
0.0,6,0.023995
-0.96875,5,0.025456
0.0,6,0.027318
0.0,6,0.029154
0.0,6,0.030842
0.0,6,0.032398
0.0,6,0.034086
0.0,6,0.037252
0.0,6,0.039208
0.0,6,0.040865
-0.96875,5,0.042514
-0.96875,5,0.043925
0.0,6,0.045479
0.0,6,0.047107
-0.96875,5,0.048502
0.0,6,0.050168
-0.96875,5,0.053096
0.0,6,0.055298
-0.96875,5,0.056984
0.0,6,0.058601
0.0,6,0.060392
-0.9375,4,0.06149
-0.9375,4,0.062675
0.0,6,0.064264
0.0,6,0.065953
0.0,6,0.067703
0.0,6,0.069764
-0.96875,5,0.071394
0.0,6,0.073077
0.0,6,0.074875
0.0,6,0.076715
-0.9375,4,0.077822
0.0,6,0.07942
0.0,6,0.080984
-0.96875,5,0.082425
-0.96875,5,0.083729
0.0,6,0.085327
-0.9375,4,0.086748
-0.96875,5,0.088745
0.0,6,0.090448
-0.96875,5,0.091773
0.0,6,0.093483
0.0,6,0.09509
-0.96875,5,0.096442
0.0,6,0.097968
0.0,6,0.099556
0.0,6,0.10134
0.0,6,0.103281
0.0,6,0.105219
0.0,6,0.106954
0.0,6,0.108622
-0.96875,5,0.109952
-0.96875,5,0.111329
-0.96875,5,0.112638
0.0,6,0.114274
0.0,6,0.115893
0.0,6,0.117567
0.0,6,0.119709
0.0,6,0.121856
-0.96875,5,0.123337
-0.96875,5,0.124763
0.0,6,0.126339
0.0,6,0.128024
0.0,6,0.129536
-0.9375,4,0.130574
0.0,6,0.132163
-0.96875,5,0.133536
0.0,6,0.135333
0.0,6,0.13737
-0.96875,5,0.138929
0.0,6,0.14075
-0.96875,5,0.142178
0.0,6,0.143782
-0.96875,5,0.145093
0.0,6,0.146709
-0.9375,4,0.147748
