#{"t_start": 1691066133.4171898, "env_id": null}
r,l,t
-1,23,0.015443
-1,22,0.021213
-1,24,0.030822
-1,22,0.037854
-1,25,0.046491
-1,21,0.052465
-1,24,0.059243
-1,26,0.06801
-1,23,0.07521
-1,24,0.081664
-1,21,0.089223
-1,25,0.095766
-1,24,0.101993
-1,24,0.110071
-1,26,0.116952
-1,18,0.12173
-1,24,0.131148
-1,25,0.138609
-1,26,0.146826
-1,27,0.153934
-1,22,0.16121
-1,24,0.166868
-1,23,0.174773
-1,23,0.180657
-1,26,0.187012
-1,25,0.195015
-1,22,0.200113
-1,28,0.209233
-1,23,0.214791
-1,24,0.220718
-1,24,0.228179
-1,22,0.233412
-1,22,0.257386
-1,24,0.265077
-1,24,0.271304
-1,24,0.277333
-1,22,0.284108
-1,23,0.289919
-1,24,0.2972
-1,19,0.30172
-1,24,0.30793
-1,25,0.314981
-1,24,0.320816
-1,24,0.326843
-1,22,0.332041
-1,22,0.337032
-1,22,0.34198
-1,25,0.347293
-1,24,0.352156
-1,28,0.357876
-1,23,0.36226
-1,22,0.366398
-1,25,0.371301
-1,22,0.375501
-1,23,0.380896
-1,24,0.385665
-1,23,0.390619
-1,18,0.39468
-1,26,0.400368
-1,22,0.404949
-1,24,0.40994
-1,22,0.415101
-1,26,0.420575
-1,25,0.426159
-1,24,0.4319
-1,22,0.436674
-1,25,0.442353
-1,23,0.447571
-1,22,0.452263
-1,25,0.4576
-1,21,0.462065
-1,21,0.466078
-1,21,0.47015
-1,23,0.474615
-1,24,0.479228
-1,24,0.483811
-1,27,0.48947
-1,25,0.494219
-1,24,0.498783
-1,24,0.50358
-1,21,0.507928
-1,25,0.513371
-1,27,0.519348
-1,21,0.524644
-1,25,0.531124
-1,28,0.538137
-1,25,0.544252
-1,23,0.550018
-1,23,0.555418
-1,29,0.562731
-1,24,0.568633
-1,26,0.57471
-1,23,0.580339
-1,22,0.585056
-1,25,0.590825
-1,23,0.596338
-1,26,0.602436
-1,24,0.607883
-1,22,0.613637
-1,28,0.620057
-1,22,0.625383
-1,24,0.631408
-1,24,0.636924
-1,22,0.641924
-1,25,0.648084
-1,23,0.653101
-1,27,0.659124
-1,27,0.665536
-1,26,0.67156
-1,19,0.67595
-1,27,0.682337
-1,26,0.687991
-1,23,0.692993
-1,23,0.698162
-1,26,0.703707
-1,24,0.709009
-1,19,0.712799
-1,24,0.717511
-1,24,0.722126
-1,26,0.727196
-1,22,0.731478
-1,27,0.736706
-1,23,0.741533
-1,24,0.746227
-1,23,0.750898
-1,23,0.7554
-1,24,0.760084
-1,26,0.765879
-1,24,0.771075
-1,24,0.775984
-1,25,0.781498
-1,24,0.786402
-1,22,0.790862
-1,23,0.795761
-1,27,0.801513
-1,25,0.806402
-1,24,0.811426
-1,22,0.816185
-1,24,0.821232
-1,21,0.825688
-1,22,0.830709
-1,20,0.834652
-1,27,0.840212
-1,21,0.844345
-1,25,0.849305
-1,23,0.853764
-1,24,0.858368
-1,22,0.86259
-1,22,0.867277
-1,25,0.872179
-1,23,0.876686
-1,22,0.881614
-1,21,0.885965
-1,26,0.891211
-1,22,0.895697
-1,24,0.901166
-1,23,0.905994
-1,23,0.910766
-1,21,0.91529
-1,24,0.920469
-1,22,0.925212
-1,26,0.930968
-1,22,0.935439
-1,26,0.940656
-1,23,0.945801
-1,24,0.950766
-1,24,0.955809
-1,20,0.95996
-1,22,0.964367
-1,26,0.969721
-1,23,0.97418
-1,23,0.978673
-1,21,0.982822
-1,26,0.987999
-1,23,0.992736
-1,25,0.997694
-1,24,1.002706
-1,22,1.007126
-1,21,1.011575
-1,25,1.017161
-1,25,1.022507
-1,26,1.030305
-1,24,1.036229
-1,27,1.042698
-1,25,1.049174
-1,23,1.054556
-1,24,1.060111
-1,24,1.065952
-1,23,1.071414
-1,25,1.07707
-1,24,1.082806
-1,23,1.088092
-1,22,1.093243
-1,20,1.098253
-1,24,1.103444
-1,25,1.108738
-1,23,1.113547
-1,22,1.1184
-1,20,1.122919
-1,25,1.128496
-1,21,1.133188
-1,24,1.138349
-1,26,1.143683
-1,24,1.148827
-1,20,1.153021
-1,27,1.158784
-1,24,1.164021
-1,25,1.169127
-1,23,1.174061
-1,27,1.179731
-1,23,1.184736
